首页,homepage,,homepage
登陆,auth.login,homepage,auth-login
用户中心,auth.center,homepage,auth-center
登出,auth.logout,homepage,auth-logout
用户类型选择,clients.select,homepage,clients-select
参与采购拼购,join_purchases.new,homepage,join_purchases-new
确认采购拼购,join_purchases.confirm.new,homepage,join_purchases-confirm-new
采购订单管理,purchase_orders.dashboard,auth.center,purchase_orders-dashboard
供应报价管理,supply_offers.dashboard,auth.center,supply_offers-dashboard
生产进程管理,production.dashboard,auth.center,production-dashboard
账户管理,auth.account,auth.center,auth-account
产品信息管理,products.dashboard,auth.center,products-dashboard
注册,auth.signup,auth.login,auth-signup
创建新采购商,purchasers.new,clients.select,purchasers-new
创建新供应商,suppliers.new,clients.select,suppliers-new
更新采购商信息,purchasers.edit,auth.account,purchasers-edit
更新供应商信息,suppliers.edit,auth.account,suppliers-edit
供应商细节,suppliers.details,auth.account,suppliers-details
创建工厂账号,manufacturers.new,auth.account,manufacturers-new
修改邮箱,auth.reset.email,auth.account,auth-reset-email
修改密码,auth.reset.password,auth.account,auth-reset-password
生产进程细节,production.details,production.dashboard,production-details
添加生产进程,production.records.new,production.details,production-records-new
修改生产进程,production.records.edit,production.details,production-records-edit
登记产品信息,products.new,products.dashboard,products-new
修改产品信息,products.edit,products.dashboard,products-edit
产出商品信息,products.delete,products.dashboard,products-delete
采购订单细节,purchase_orders.details,purchase_orders.dashboard,purchase_orders-details
待收货采购订单,purchase_orders.on_road,purchase_orders.dashboard,purchase_orders-on_road
发布采购订单,purchase_orders.new,purchase_orders.dashboard,purchase_orders-new
确认发布采购,purchase_orders.confirm.new,purchase_orders.dashboard,purchase_orders-confirm-new
创建供应报价,supply_offers.new,supply_offers.dashboard,supply_offers-new
供应报价细节,supply_offers.details,supply_offers.dashboard,supply_offers-details
确认报价修改,supply_offers.confirm.edit,supply_offers.dashboard,supply_offers-confirm-edit
接受采购订单,supply_offers.adopt,supply_offers.dashboard,supply_offers-adopt
确认发布报价,supply_offers.confirm.new,supply_offers.dashboard,supply_offers-confirm-new